time_s,distance_m,x_m,y_m,speed_kmh
40.556,2359.996944444445,-341.29493207156946,11241.961711937538,228.0
41.476,2423.3747222222228,20.906819121758026,11734.225789782511,248.0
41.514,2426.045959679739,39.0,11754.0,248.63333546666667
41.673,2437.221445731872,116.0,11835.0,251.28333653333334
41.836,2448.774722222223,187.97274770938174,11908.330354160833,254.0
42.014,2461.5724239900433,289.0,12002.0,257.17857371428573
42.116,2468.9191666666675,374.0055357670161,12075.481664724719,259.0
42.233,2477.3228994275723,465.0,12152.0,259.0
42.276,2480.430277777779,487.32258101036854,12170.27504433766,259.0
42.473,2494.886857128013,547.0,12215.0,262.6937536
42.596,2503.985833333334,605.0032754803833,12258.079539403523,265.0
42.753,2515.5982723043385,717.0,12332.0,266.30833493333336
42.836,2521.7858333333343,796.1730025912857,12376.152409860948,267.0
43.053,2538.2254088815307,1011.0,12484.0,270.79750336
43.236,2552.2302777777786,1088.5892195858103,12519.546737066725,274.0
43.394,2564.3344083280736,1152.0,12543.0,275.58000128
43.436,2567.563611111112,1179.1898042725065,12553.090807773104,276.0
43.534,2575.1255839583287,1253.0,12580.0,276.8909102545455
43.794,2595.3613733947755,1445.0,12641.0,279.2545466181818
43.876,2601.7858333333343,1506.279171687142,12658.173537360457,280.0
44.114,2620.537351710505,1688.0,12703.0,282.63711912928846
44.237,2630.2647222222236,1783.5987170857431,12722.643256681993,284.0
44.294,2634.777199224889,1827.0,12731.0,284.28571410239874
44.394,2642.7009936434447,1904.0,12745.0,284.78696747643545
44.554,2655.4149448755916,2059.0,12769.0,285.58897287489424
44.636,2661.963055555557,2129.3284828390615,12778.903741394282,286.0
44.794,2674.643914619862,2249.0,12794.0,287.58000128
45.036,2694.185277777779,2443.0908941908533,12815.51968545489,290.0
45.054,2695.6416529641815,2457.0,12817.0,290.1500010666667
45.276,2713.6519444444457,2623.9187342883138,12834.351185947888,292.0
45.354,2720.0173890236542,2699.0,12842.0,292.9750016
45.436,2726.7186111111123,2793.3377353014444,12851.565462091276,294.0
45.555,2736.4353321362137,2926.0,12865.0,294.0
45.596,2739.785277777779,2958.789662061697,12868.333160927687,294.0
45.815,2757.7256961456796,3073.0,12880.0,294.91250026666665
45.836,2759.451944444446,3087.53175177345,12881.470997904325,295.0
45.994,2772.476931960461,3220.0,12895.0,296.31666773333336
46.076,2779.251944444446,3289.268792997691,12902.443308614189,297.0
46.316,2799.118611111113,3485.2485160576616,12924.393983357702,298.0
46.334,2800.6118138244065,3500.0,12926.0,298.1125008
46.476,2812.4075000000016,3617.0589454441947,12938.531312614832,299.0
46.534,2817.232192633943,3665.0,12944.0,299.1812504
46.635,2825.6426168005887,3748.0,12954.0,299.4968752
46.796,2839.074166666668,3879.849521955467,12968.077755755474,300.0
46.814,2840.5778198351563,3897.0,12970.0,300.09000064
46.996,2855.7963888888908,4110.400112461321,12996.124893626293,301.0
47.154,2869.0069663541,4295.0,13020.0,301.0
47.156,2869.174166666668,4297.018793831746,13020.26368932496,301.0
47.356,2885.8963888888907,4458.791082740656,13041.772413836263,301.0
47.556,2902.6186111111124,4572.750778222669,13057.196882310769,301.0
47.594,2905.790145808097,4594.0,13060.0,300.86428525714285
47.836,2925.951944444446,4742.040155018511,13078.291467022282,300.0
47.874,2929.118528233473,4776.0,13082.0,300.0
48.153,2952.3689563531416,5107.0,13112.0,300.0
48.156,2952.6186111111124,5110.297955846785,13112.17563775714,300.0
48.396,2972.551944444446,5322.803646251907,13110.547677807017,299.0
48.596,2989.0519444444453,5446.957712589348,13094.501274205404,297.0
48.634,2992.1644873475434,5468.0,13091.0,296.36666453333333
48.836,3008.5852777777786,5568.89864677792,13069.20732819418,293.0
48.934,3016.4916270566796,5628.0,13052.0,291.5999981714286
49.094,3029.310644692602,5748.0,13011.0,289.3142838857143
49.116,3031.0630555555563,5764.423137662238,13004.380885254875,289.0
49.334,3048.2962873906763,5918.0,12927.0,285.9722204444444
49.476,3059.4630555555564,6014.286084457844,12865.266414195146,284.0
49.534,3064.0226028969328,6051.0,12840.0,283.6374992
49.636,3072.0408333333344,6110.251018792031,12797.545371418584,283.0
49.836,3087.763055555556,6221.51795710821,12699.380869314067,283.0
49.894,3092.3134648177374,6262.0,12653.0,282.7928566857143
50.054,3104.843395093389,6385.0,12494.0,282.2214281142857
50.116,3109.6963888888895,6420.846931272827,12443.189951855791,282.0
50.316,3125.3630555555565,6477.417074532587,12340.965350520732,282.0
50.474,3137.802330405866,6505.0,12269.0,282.6583338666667
51.515,3220.949512664798,6752.0,11484.0,286.9958336
51.516,3221.029722222223,6752.194524625758,11483.196317722653,287.0
51.716,3237.0852777777786,6787.847236765859,11325.459858379585,289.0
51.754,3240.1425525382247,6794.0,11297.0,289.1583338666667
51.934,3254.64680545175,6823.0,11155.0,289.9083338666667
51.956,3256.418611111112,6827.244538070879,11131.907863607421,290.0
52.194,3275.5902362012826,6878.0,10832.0,290.0
52.196,3275.751944444445,6878.333293126883,10829.930700323957,290.0
52.356,3288.7297222222232,6897.207773960567,10706.42686698691,292.0
52.556,3305.0075000000006,6906.896677818229,10622.872791771151,293.0
