time_s,distance_m,x_m,y_m,speed_kmh
59.791,4023.7176170849643,2229.0,4852.0,232.4373593166492
59.916,4031.9641666666676,2171.9680081483357,4792.091603848626,235.0
59.971,4035.603107894568,2146.0,4766.0,236.3749952
60.076,4042.58638888889,2095.7647948879344,4715.8669833895865,239.0
60.191,4050.331288351779,2042.0,4660.0,241.8750016
60.236,4053.3863888888895,2022.0147971752021,4637.718830381268,243.0
60.391,4064.0062000994158,1958.0,4558.0,245.32500096
60.591,4077.9036202560173,1888.0,4443.0,248.32500096
60.636,4081.0530555555565,1874.448196136972,4415.0283565974405,249.0
60.831,4094.793970779263,1825.0,4286.0,253.06250133333333
60.876,4097.986388888889,1815.5786761240306,4254.965058525076,254.0
61.011,4107.614808035314,1791.0,4160.0,256.5312464
61.036,4109.408611111112,1786.8511836421576,4142.309923434527,257.0
61.271,4126.443226261804,1754.0,3974.0,260.9166677333333
61.276,4126.808611111112,1753.4406585320323,3970.343804112703,261.0
61.471,4141.147648223216,1736.0,3828.0,263.7083342222222
61.636,4153.408611111113,1726.1838966468263,3717.254664936179,266.0
61.731,4160.518633168404,1719.0,3634.0,268.3749952
61.796,4165.408611111113,1712.4584010705375,3561.8826121704615,270.0
61.931,4175.637502893867,1698.0,3407.0,271.87499733333334
62.156,4192.908611111113,1686.4061110012951,3287.440017828983,275.0
62.251,4200.2868758318145,1681.0,3233.0,276.7812464
62.451,4215.93076081648,1664.0,3060.0,280.5312464
62.476,4217.886388888891,1661.932808867036,3038.816333308196,281.0
62.636,4230.419722222225,1649.950227697779,2914.526725756791,282.0
62.691,4234.76300584642,1646.0,2872.0,283.09452389079365
62.837,4246.388055555558,1635.614121215136,2755.57152433892,286.0
